Taxa(Species/Node),Isolate(SpecimenID/repeat),Centroid_size,Tube_curvature,Lobe_area_ratio,Tube_dilation,Lobe_recurvation
Sinningia_aggregata,K039091_07,107944.8718,-0.000119856,0.081619785,0.881024582,166.1609239
Sinningia_aggregata,K039091_09,103063.6901,-0.000333115,0.080420695,0.921504562,204.4244257
Sinningia_aggregata,K039092_05,102733.5337,-0.000236224,0.074776809,0.941334991,200.7500106
Sinningia_aggregata,K039093_02,103232.2001,-0.000045749,0.076683455,0.848962056,146.7690621
Sinningia_aggregata,K039093_03,99765.93655,-0.000151704,0.065782633,0.904148493,131.9045073
Sinningia_allagophylla,HC0909-d_09,65719.92768,-0.000134174,0.139607444,1.65162611,245.0301902
Sinningia_allagophylla,K039099_03,71794.98174,-0.000026861,0.130312129,1.614819563,291.6217999
Sinningia_allagophylla,K039099_04,62873.071,-0.000120439,0.132127814,1.777310278,288.9610619
Sinningia_allagophylla,K039100_07,65754.76121,-0.000022498,0.14495239,1.809884372,271.2049969
Sinningia_allagophylla,K039100_08,69374.80233,0.000093267,0.199399703,1.708249815,368.7256177
Sinningia_barbata,HC1206-a_02,153092.8458,0.001754934,0.063944284,1.560323732,608.309988
Sinningia_barbata,HC1206-a_03,161783.8589,0.001319935,0.05915204,1.656880266,539.4144552
Sinningia_barbata,HC1206-d_09,179264.8104,0.001402189,0.059579422,1.596215233,569.7579151
Sinningia_barbata,HC1206-d_10,173052.9675,0.001394812,0.059092663,1.596711491,605.5103865
Sinningia_barbata,K039105_03,169129.1559,0.001259263,0.056574372,1.593952421,577.845588
Sinningia_carangolensis,HC1912-2_02,129993.3966,-0.000151290,0.072836746,0.870009392,159.8942719
Sinningia_carangolensis,HC1912-2_03,127552.6289,-0.000125556,0.073133638,0.856696021,144.0258084
Sinningia_carangolensis,HC1912-2_04,129962.9922,-0.000126275,0.073998149,0.873898102,120.2616376
Sinningia_carangolensis,K039112_01,120472.6241,-0.000151365,0.07991679,0.965928885,162.1418759
Sinningia_carangolensis,K039112_03,127560.5448,-0.000183245,0.079743114,0.867037588,216.9489585
Sinningia_concinna,HC2202-t_04,63017.43152,0.000378036,0.133998374,0.952427259,304.0994979
Sinningia_concinna,K039117_06,70947.32748,0.001142683,0.159708753,0.957267636,331.9254444
Sinningia_concinna,K039118_03,70146.30156,0.000985104,0.14794941,0.996338419,315.497812
Sinningia_concinna,K039118_04,71455.08963,0.000947666,0.149095043,0.985421496,310.943165
Sinningia_concinna,K039118_05,70896.27484,0.000799481,0.154244741,1.004529197,265.1727593
